AZA.ST,AZN.ST,GETI-B.ST,HM-B.ST,ICA.ST,SCA-B.ST,SEB-A.ST,SSAB-A.ST
177.847046,273.763916,117.931046,154.310806,73.685585,7.338768,40.145443,89.602669
180.14679,269.566498,122.464134,156.977905,73.685585,7.418,40.402313,89.975044
179.763504,272.737854,122.710617,159.34021,75.229767,7.418,40.805965,90.859436
181.679962,275.34964,121.887222,159.035385,77.545631,7.403594,40.916061,91.092163
180.530075,271.711853,123.947487,163.836182,76.913483,7.454015,40.695877,90.812889
181.679962,271.432068,125.678215,166.274658,77.194359,7.446811,40.952747,92.860947
182.829834,274.510101,127.902779,166.884277,77.896164,7.439609,41.933205,92.8144
183.596405,274.603363,126.996353,166.884277,78.106628,7.295551,42.046337,92.8144
183.213104,271.338745,128.232315,166.503281,77.47522,7.396392,41.706947,92.628212
185.896149,275.256287,128.727066,165.055405,78.597954,7.288348,42.348015,92.581665
187.046036,272.458038,128.397537,159.721222,78.106628,7.317159,42.46114,93.047134
186.279449,274.41687,128.892258,160.483261,77.966568,7.425202,43.102207,93.372963
188.579193,276.189056,129.963058,162.464523,77.615295,7.497196,43.59243,94.303909
184.362991,279.080658,129.056595,163.836182,77.615295,7.446811,43.290756,96.445053
186.66272,281.319275,131.364227,166.122269,77.123955,7.46842,44.195786,97.282906
187.429337,283.091522,131.034698,166.122269,76.843834,7.418,43.705563,97.655273
187.812607,281.225952,132.188507,167.951126,76.142044,8.788838,44.497467,97.748367
187.429337,283.930939,130.292572,168.179749,75.720352,8.704319,44.6483,96.724335
186.66272,285.330109,131.941132,166.579498,75.088959,8.553074,44.158077,95.048645
188.962479,286.169556,133.506638,166.731903,75.088959,8.490842,44.6483,94.526405
182.446548,283.557861,132.683258,166.427063,76.77343,8.704319,44.158077,94.146591
179.651947,284.677185,132.352829,165.741241,79.012276,8.584257,43.818691,93.386955
175.659698,282.904877,131.858978,161.931091,77.148849,8.473047,42.913662,89.921143
172.865097,282.625092,131.858978,163.074158,76.179779,8.459703,43.253044,90.443398
178.454269,284.770447,132.683258,166.579498,76.030701,8.4686,43.743271,90.111061
177.256592,284.677185,132.60022,166.884277,78.937744,8.464151,44.007236,93.054619
175.659698,287.475433,133.506638,167.493912,78.714188,8.406323,44.497467,93.861725
176.058899,291.952606,132.106323,167.722534,79.459549,8.504188,43.667854,93.386955
176.458145,280.852905,132.904068,170.008606,79.384995,8.646491,44.044949,93.481911
176.458145,279.920135,135.261505,169.929031,79.459549,8.237328,43.818691,102.549995
176.458145,283.091522,132.819199,173.749435,79.310463,8.379633,43.328465,102.92981
176.458145,284.304047,134.082336,175.500458,77.596039,8.348495,43.215332,102.834854
174.861237,288.408203,135.009598,180.355576,73.309975,8.575317,42.649689,101.505508
172.865097,292.04599,137.872665,180.992294,71.334702,8.633147,42.951366,99.606422
175.659698,294.564362,140.314972,182.504562,70.99929,8.642043,42.800529,101.410553
172.465881,296.80304,141.915802,181.629044,73.086349,8.544222,42.348015,101.410553
173.264313,298.948303,142.758179,183.937225,73.01181,8.526427,42.687393,103.309624
172.865097,302.212952,144.442078,185.847427,73.720009,8.575317,43.102207,102.834854
171.268204,304.171753,144.274139,183.698456,72.900024,8.490842,43.064495,101.600449
169.272064,306.41037,145.7052,184.0168,72.415535,8.486394,42.913662,101.030731
169.671295,305.570923,146.126862,189.349472,73.720009,8.504188,42.61198,100.366058
167.675156,304.265015,145.79007,187.280075,74.465363,8.553074,42.348015,99.321564
167.27594,303.705475,145.958008,188.951508,75.285339,8.628697,42.385719,99.701378
167.675156,302.212952,144.863708,189.747421,75.508972,8.597559,42.875946,99.701378
167.27594,302.58609,147.810745,186.882141,75.956154,8.722113,42.875946,99.13166
162.884445,299.321472,143.768509,185.131104,74.763542,8.562016,41.593822,96.662865
160.48909,298.015656,143.59967,184.335175,74.688995,8.575317,41.292141,98.656891
162.485199,302.11969,143.515717,187.91684,74.353584,8.655388,42.008625,98.94175
